target_id,institution_or_source,region,backlog_status,execution_disposition,access_class,adapter_family,next_wave,linked_pandas,needs_primary_source,partial,name_zh_gap,parentage_gap,current_location_primary_gap,structured_event_gap,access_cost,parser_complexity,expected_field_yield,identity_coverage,conflict_risk,conflict_rate_assumption,curator_burden,blocker,recommendation
target_ccrcgp,China Conservation and Research Center for the Giant Panda,China,partial,replace-secondary-with-official,official-documents-or-feeds,ccrcgp-official-profile-and-base,W1-ccrcgp-surface-review,15,2,7,1,6,9,7,medium-high,high,medium,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,medium,"official institution exists but no public studbook-like individual-profile surface is confirmed; exact paths, terms, robots, and permission remain unreviewed",fold into one CCRCGP official replacement cohort; do not crawl the three overlapping GPG Ya'an batches
target_chengdu_base,Chengdu Research Base of Giant Panda Breeding,China,partial,review-then-adapt,deterministic-official-html,chengdu-base-official-html,W1-chengdu-source-review,60,17,31,20,45,48,41,medium,medium,very-high,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,very-high,"exact official paths, terms, robots, redirects, and content stability remain unreviewed","review exact Chengdu profile, news, and history paths, then implement one shared official HTML adapter family"
target_beijing_zoo,Beijing Zoo,China,partial,manual-surface-discovery,manual-only,beijing-zoo-profile-and-archive,W1-beijing-surface-review,42,20,10,18,31,30,24,high,not-applicable-until-access-resolved,very-high,high-with-cohort-boundary,medium,not-measurable-before-official-access-resolution,high,official site is public HTML but no deterministic individual-profile surface is confirmed; key facts remain in social or news context,first locate a deterministic official profile or archive surface; otherwise keep manual and document-only
target_qinling,Qinling Giant Panda Research Center,China,partial,defer-lower-impact-review,official-documents-or-feeds,official-document-evidence,W3-overseas-follow-up,6,0,4,0,4,4,3,medium-high,high,low,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",defer behind W1/W2; reuse the official-document-evidence family after formal source review
target_pairi_daiza,Pairi Daiza,Belgium,partial,defer-lower-impact-review,deterministic-official-html,official-zoo-profile-html,W3-overseas-follow-up,8,1,6,3,3,7,6,medium,medium,medium,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,medium,"exact official paths, terms, robots, redirects, and content stability remain unreviewed",defer behind W1/W2; reuse the official-zoo-profile-html family after formal source review
target_beauval,ZooParc de Beauval,France,done,maintenance-only,deterministic-official-html,official-zoo-profile-html,W0-maintenance,7,2,0,2,4,2,4,medium,medium,low,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,medium,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_ouwehands,Ouwehands Zoo,Netherlands,partial,defer-lower-impact-review,deterministic-official-html,official-zoo-profile-html,W3-overseas-follow-up,2,0,1,0,1,1,1,medium,medium,low,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,low,"exact official paths, terms, robots, redirects, and content stability remain unreviewed",defer behind W1/W2; reuse the official-zoo-profile-html family after formal source review
target_berlin_zoo,Zoo Berlin,Germany,done,maintenance-only,deterministic-official-html,official-zoo-profile-html,W0-maintenance,12,0,6,6,7,6,7,medium,medium,medium,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,medium,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_madrid_zoo,Madrid Zoo Aquarium,Spain,done,maintenance-only,deterministic-official-html,official-zoo-profile-html,W0-maintenance,3,0,0,0,2,0,2,medium,medium,low,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,low,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_adventure_world,Adventure World Shirahama,Japan,partial,defer-lower-impact-review,deterministic-official-html,official-zoo-profile-html,W3-overseas-follow-up,20,0,0,0,3,0,5,medium,medium,low,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,medium,"exact official paths, terms, robots, redirects, and content stability remain unreviewed",defer behind W1/W2; reuse the official-zoo-profile-html family after formal source review
