target_id,priority,institution_or_source,region,reason,status,notes
target_ccrcgp,1,China Conservation and Research Center for the Giant Panda,China,"Primary source for studbook-like profile, exact birth dates, parentage, and current bases.",partial,"Captured official center/base profile, Ling Lang 2025 first-cub birth, and Shenshuping current-location updates for Bei Bei/Xiao Qi Ji; still need studbook-like individual profile pages for exact parentage/current bases."
target_chengdu_base,1,Chengdu Research Base of Giant Panda Breeding,China,"Primary holder source for He Hua, He Ye, Mei Lan-linked Chengdu records, and many popular profiles.",partial,"Captured official 2022-class cub debut, 15 cub names, and Fu Ru death notice; still need individual profile/studbook pages for birthdays, sex, parentage, and He Hua/He Ye promotion."
target_beijing_zoo,1,Beijing Zoo,China,"Primary holder source for Meng Lan and current Beijing profiles.",partial,"Captured 2023 Beijing Zoo family guide and Meng Lan/Dian Dian profile context through Visit Beijing/Beijing Daily sources citing Beijing Zoo social posts; direct Beijing Zoo/studbook pages still preferred."
target_qinling,2,Qinling Giant Panda Research Center,China,"Qinling-line profiles and facility records.",partial,"Captured Qizai, Lou Sheng, Qin Qin, and core Qinling lineage anchors from CCTV/China News/National Forestry/Shaanxi Daily sources; still need official center/studbook rows for complete cub lists and parentage."
target_pairi_daiza,2,Pairi Daiza,Belgium,"Official source for Tian Bao, Bao Di, Bao Mei parentage and exact dates.",partial,"China return captured; Tian Bao official birthday captured; twins still need stronger Pairi primary page."
target_beauval,2,ZooParc de Beauval,France,"Official source for Yuan Meng and French-born twins.",done,"Captured Huan Huan, Yuan Zi, Yuan Meng, Yuandudu, Huanlili, and return/departure context."
target_ouwehands,2,Ouwehands Zoo,Netherlands,"Official source for Fan Xing and Dutch panda program.",partial,"Captured Fan Xing and parent names; Xing Ya/Wu Wen exact birth dates still need official profile."
target_berlin_zoo,2,Zoo Berlin,Germany,"Official source for Meng Meng, Jiao Qing, Pit, Paule, and later cubs.",done,"Captured Meng Meng, Jiao Qing, 2019 twins, and 2024 twins."
target_madrid_zoo,2,Madrid Zoo Aquarium,Spain,"Official source for Spanish-born pandas and parents.",done,"Captured Hua Zui Ba, Bing Xing, Chulina, You You, Jiu Jiu, and older Madrid-born cub references."
target_adventure_world,2,Adventure World Shirahama,Japan,"Large official Japanese panda family source.",partial,"Captured Eimei, Rauhin, recent cubs and return timeline; older full family remains for later expansion."
target_ueno_zoo,2,Ueno Zoo,Japan,"Official source for Xiang Xiang, Xiao Xiao, Lei Lei, Shin Shin, Ri Ri.",partial,"Captured recent Ueno pandas, 2026 Xiao Xiao/Lei Lei return, and historical Ueno discovery rows; older exact death dates still need archival primary sources."
target_ediburgh_zoo,3,Royal Zoological Society of Scotland / Edinburgh Zoo,United Kingdom,"Historic UK panda holder source.",partial,"Captured Yang Guang/Tian Tian return and Yang Guang birthday; Tian Tian exact birth date and current Chinese facility still need primary confirmation."
target_memphis_zoo,3,Memphis Zoo,United States,"Historic Ya Ya/Le Le records.",partial,"Captured Ya Ya/Le Le core records; reconcile Ya Ya exact departure/arrival date and Le Le exact death date."
target_adelaide_zoo,3,Adelaide Zoo,Australia,"Southern Hemisphere panda holder source.",partial,"Captured Wang Wang/Fu Ni birthdays and new Xing Qiu/Yi Lan pair; exact dates for new pair still needed."
target_studbook,1,International Studbook for Giant Panda,Global,"Canonical lineage and parentage reconciliation.",partial,"Located Smithsonian Libraries catalog record for the International Studbook; no accessible current full-text edition found yet for row-level reconciliation."
target_moscow_zoo,3,Moscow Zoo,Russia,"Current overseas holder and Russia-born cub source.",partial,"Captured Ru Yi, Ding Ding, and Katyusha from official-wire sources; direct Moscow Zoo profile preferred."
target_vienna_zoo,3,Vienna Zoo,Austria,"Historic and current European panda breeding source.",partial,"Captured current pair and Vienna-born cubs; 2016 twins naming/sex and Long Hui death need dedicated official sources."
target_canada_zoos,3,Toronto Zoo / Calgary Zoo,Canada,"Historic Canadian panda holder sources.",partial,"Captured Er Shun, Da Mao, Jia Panpan, and Jia Yueyue; adult birth dates still need primary confirmation."
target_copenhagen_zoo,3,Copenhagen Zoo,Denmark,"Current overseas panda holder source.",partial,"Captured official Copenhagen Zoo 2025 breeding-season article for Xing Er/Mao Sun current pair context; birth dates still come from secondary database and need official profile/studbook confirmation."
target_singapore_mandai,2,Mandai Wildlife Group / River Wonders,Singapore,"Current and historic Singapore panda holder source.",done,"Captured Kai Kai, Jia Jia, and Le Le with official Mandai sources."
target_macao_pavilion,2,Macao Giant Panda Pavilion / Macao SAR Government,Macao,"Current Macao panda family and earlier Shu Xiang records.",done,"Captured Kai Kai, Xin Xin, Jian Jian, Kang Kang, and Shu Xiang from Macao government pages."
target_taipei_zoo,2,Taipei Zoo,Taiwan,"Current Taipei panda family and Tuan Tuan historic record.",done,"Captured Tuan Tuan, Yuan Yuan, Yuan Zai, and Yuan Bao from Taipei Zoo sources."
